Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11
2.085,-0.501125803634471,-0.425443763293425,-0.300239807509293,-0.0935954723347789,-0.312410498220342,-0.499114091545136,0.237942963561751,0.219876551341185,0.345895148469811,0.207636840644344
2.1,-0.501196338488142,-0.425514258606001,-0.300310260597233,-0.0936658806230094,-0.312480859247342,-0.499130672121277,0.23792639386853,0.219859993189016,0.345878602493661,0.207620307454781
2.115,-0.501267135257843,-0.425585024411986,-0.30038099245617,-0.0937365756438918,-0.31255151463712,-0.499147325169595,0.237909749625939,0.219843358473925,0.345861978008541,0.20760369388146
2.13,-0.501338140392634,-0.4256560079874,-0.300451951241079,-0.0938075064818582,-0.312622414452469,-0.49916403760196,0.237893043746793,0.219826659921068,0.345845287539903,0.207587012238403
2.145,-0.501409295981063,-0.425727152078239,-0.300523080411537,-0.0938786173650754,-0.312693503743899,-0.499180795405536,0.237876290108597,0.219809911259466,0.345828544655341,0.207570275919077
2.16,-0.501480540793953,-0.425798395931235,-0.300594319749272,-0.0939498486686037,-0.31276472353727,-0.499197583890768,0.237859503307879,0.219793126978937,0.345811763724402,0.207553499159348
2.175,-0.501551811385082,-0.42586967638674,-0.300665606441967,-0.0940211379878683,-0.312836011895688,-0.49921438795008,0.237842698402832,0.219776322074368,0.34579495966478,0.207536696785887
2.19,-0.501623043223932,-0.425940929008138,-0.300736876208023,-0.0940924212574687,-0.312907305031057,-0.499231192321283,0.237825890650232,0.219759511783254,0.345778147680761,0.20751988395582
2.205,-0.501694171833811,-0.426012089221148,-0.300808064435759,-0.0941636338889542,-0.312978538439125,-0.499247981849664,0.237809095242676,0.219742711322541,0.345761342999964,0.207503075893649
2.22,-0.501765133908749,-0.426083093436349,-0.300879107310295,-0.0942347119008165,-0.31304964803129,-0.499264741742859,0.237792327052064,0.219725935630731,0.345744560614347,0.207486287631437
2.235,-0.501835868383732,-0.426153880129187,-0.300949942902198,-0.0943055930145655,-0.313120571236897,-0.499281457813015,0.237775600384914,0.219709199120924,0.345727815031209,0.20746953375804
